Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,Feat13,Feat14,Feat15,Feat16,Feat17,Feat18,FeatOnes,Label
13.5135210492024,13.5135204393342,13.5135209578342,13.5135206353846,13.513520752443,13.5135208071722,13.5135206359032,13.5135208876166,13.5135206795976,8.09273480989858,8.09224944458542,8.09217677181793,8.09262045481059,8.09202527281591,8.0925826334246,8.09218577544488,8.09237541304632,8.09237565018577,1,13.5135205132286
13.5135205132286,13.5135210492024,13.5135204393342,13.5135209578342,13.5135206353846,13.513520752443,13.5135208071722,13.5135206359032,13.5135208876166,8.09161565137921,8.09273480989858,8.09224944458542,8.09217677181793,8.09262045481059,8.09202527281591,8.0925826334246,8.09218577544488,8.09237541304632,1,13.5135207441259
13.5135207441259,13.5135205132286,13.5135210492024,13.5135204393342,13.5135209578342,13.5135206353846,13.513520752443,13.5135208071722,13.5135206359032,8.09325820870643,8.09161565137921,8.09273480989858,8.09224944458542,8.09217677181793,8.09262045481059,8.09202527281591,8.0925826334246,8.09218577544488,1,13.5135211149336
13.5135211149336,13.5135207441259,13.5135205132286,13.5135210492024,13.5135204393342,13.5135209578342,13.5135206353846,13.513520752443,13.5135208071722,8.09143173048774,8.09325820870643,8.09161565137921,8.09273480989858,8.09224944458542,8.09217677181793,8.09262045481059,8.09202527281591,8.0925826334246,1,13.5135201375069
13.5135201375069,13.5135211149336,13.5135207441259,13.5135205132286,13.5135210492024,13.5135204393342,13.5135209578342,13.5135206353846,13.513520752443,8.09289131473893,8.09143173048774,8.09325820870643,8.09161565137921,8.09273480989858,8.09224944458542,8.09217677181793,8.09262045481059,8.09202527281591,1,13.5135216700581
13.5135216700581,13.5135201375069,13.5135211149336,13.5135207441259,13.5135205132286,13.5135210492024,13.5135204393342,13.5135209578342,13.5135206353846,8.09246256026283,8.09289131473893,8.09143173048774,8.09325820870643,8.09161565137921,8.09273480989858,8.09224944458542,8.09217677181793,8.09262045481059,1,13.5135198264091
13.5135198264091,13.5135216700581,13.5135201375069,13.5135211149336,13.5135207441259,13.5135205132286,13.5135210492024,13.5135204393342,13.5135209578342,8.09126287749083,8.09246256026283,8.09289131473893,8.09143173048774,8.09325820870643,8.09161565137921,8.09273480989858,8.09224944458542,8.09217677181793,1,13.5135214561999
13.5135214561999,13.5135198264091,13.5135216700581,13.5135201375069,13.5135211149336,13.5135207441259,13.5135205132286,13.5135210492024,13.5135204393342,8.09438815116037,8.09126287749083,8.09246256026283,8.09289131473893,8.09143173048774,8.09325820870643,8.09161565137921,8.09273480989858,8.09224944458542,1,13.5135206885011
13.5135206885011,13.5135214561999,13.5135198264091,13.5135216700581,13.5135201375069,13.5135211149336,13.5135207441259,13.5135205132286,13.5135210492024,8.0895733220875,8.09438815116037,8.09126287749083,8.09246256026283,8.09289131473893,8.09143173048774,8.09325820870643,8.09161565137921,8.09273480989858,1,13.5135199568259
13.5135199568259,13.5135206885011,13.5135214561999,13.5135198264091,13.5135216700581,13.5135201375069,13.5135211149336,13.5135207441259,13.5135205132286,8.09515588767629,8.0895733220875,8.09438815116037,8.09126287749083,8.09246256026283,8.09289131473893,8.09143173048774,8.09325820870643,8.09161565137921,1,13.5135226837605
13.5135226837605,13.5135199568259,13.5135206885011,13.5135214561999,13.5135198264091,13.5135216700581,13.5135201375069,13.5135211149336,13.5135207441259,8.09040049757659,8.09515588767629,8.0895733220875,8.09438815116037,8.09126287749083,8.09246256026283,8.09289131473893,8.09143173048774,8.09325820870643,1,13.5135180293378
